etf_code,etf_name,exchange,theme,tracked_index,listing_date,expense_ratio,aum,avg_amount_20d,holdings_available
588200,科创芯片ETF,SH,科创芯片,上证科创板芯片指数,2022-10,0.5,85,52000,
588290,科创芯片ETF华安,SH,科创芯片,上证科创板芯片指数,2022-10,0.5,12,8500,
159516,半导体设备ETF,SZ,半导体设备,中证半导体设备指数,2023-05,0.5,18,12000,
560780,半导体设备材料ETF,SH,半导体设备,中证半导体设备材料指数,2023-05,0.5,8,4500,
588000,科创50ETF,SH,科创50,上证科创板50指数,2020-09,0.5,680,180000,
588080,科创50ETF易方达,SH,科创50,上证科创板50指数,2020-09,0.5,420,95000,
588090,科创50ETF华泰柏瑞,SH,科创50,上证科创板50指数,2020-09,0.5,180,42000,
588030,科创100ETF,SH,科创100,上证科创板100指数,2023-09,0.5,95,35000,
588190,科创100ETF易方达,SH,科创100,上证科创板100指数,2023-09,0.5,45,18000,
588220,科创100ETF华泰柏瑞,SH,科创100,上证科创板100指数,2023-09,0.5,38,15000,
159995,芯片ETF,SZ,芯片,国证芯片指数,2020-02,0.5,220,85000,
512760,芯片ETF易方达,SH,芯片,中证半导体指数,2019-06,0.5,180,72000,
159813,半导体ETF,SZ,芯片,中证半导体指数,2020-05,0.5,65,28000,
159915,创业板ETF,SZ,创业板,创业板指数,2011-09,0.5,380,150000,
159952,创业板ETF广发,SZ,创业板,创业板指数,2011-11,0.5,65,22000,
159977,创业板ETF天弘,SZ,创业板,创业板指数,2019-09,0.5,55,18000,
159967,创业板成长ETF,SZ,创业板成长,创业板动量成长指数,2019-07,0.5,45,12000,
159966,创业板低波价值ETF,SZ,创业板成长,创业板低波价值指数,2019-07,0.5,12,3500,
159819,人工智能ETF,SZ,人工智能,中证人工智能指数,2020-12,0.5,85,32000,
515980,人工智能ETF易方达,SH,人工智能,中证人工智能指数,2020-07,0.5,42,15000,
159998,计算机ETF,SZ,人工智能,中证计算机指数,2021-03,0.5,28,11000,
