code,report_date,roe,net_profit_margin,gross_profit_margin,net_profit,eps,revenue,source,updated_at
002156,2026-03-31,0.021126,0.046814,0.133247,350243523.530000,0.953070,,baostock,2026-07-07T12:01:18+08:00
002371,2026-03-31,0.042450,0.151892,0.407728,1567956334.890000,7.692845,,baostock,2026-07-07T12:01:18+08:00
002916,2026-03-31,0.048254,0.129070,0.291690,851291856.450000,5.335730,,baostock,2026-07-07T12:01:20+08:00
002938,2026-03-31,0.013454,0.055796,0.229485,445575362.800000,1.601529,,baostock,2026-07-07T12:01:21+08:00
300236,2026-03-31,0.020810,0.179814,0.421847,103809940.450000,1.127004,,baostock,2026-07-07T12:01:22+08:00
300308,2026-03-31,0.175495,0.323998,0.460581,6316792027.020000,13.453904,,baostock,2026-07-07T12:01:23+08:00
300394,2026-03-31,0.085709,0.370053,0.566039,492269821.580000,2.793689,,baostock,2026-07-07T12:01:24+08:00
300502,2026-03-31,0.145175,0.332721,0.491610,2774196263.340000,10.804345,,baostock,2026-07-07T12:01:25+08:00
300604,2026-03-31,0.071747,0.260505,0.568083,359098469.150000,2.479314,,baostock,2026-07-07T12:01:26+08:00
600519,2026-03-31,0.105687,0.522245,0.897592,28153831489.890000,66.052123,,baostock,2026-07-07T12:01:27+08:00
600584,2025-12-31,0.055614,0.040393,0.141474,1570137941.260000,0.874721,38871348331.230000,baostock,2026-07-07T12:01:29+08:00
600703,2026-03-31,0.001934,0.024757,0.184814,71968064.350000,-0.099746,,baostock,2026-07-07T12:01:30+08:00
603228,2026-03-31,0.017643,0.062440,0.187612,243014470.560000,1.156389,,baostock,2026-07-07T12:01:32+08:00
603986,2026-03-31,0.065999,0.351597,0.570767,1472515257.260000,4.100172,,baostock,2026-07-07T12:01:33+08:00
688008,2026-03-31,0.050186,0.568026,0.697882,829725360.220000,2.092636,,baostock,2026-07-07T12:01:34+08:00
688012,2026-03-31,0.039592,0.315075,0.398926,918439904.120000,4.358218,,baostock,2026-07-07T12:01:35+08:00
688019,2026-03-31,0.051152,0.286869,0.554642,207672321.110000,4.700096,,baostock,2026-07-07T12:01:36+08:00
688037,2026-03-31,0.001255,0.030884,0.466893,10209702.790000,0.349923,,baostock,2026-07-07T12:01:37+08:00
688041,2026-03-31,0.029880,0.217514,0.556040,877361302.100000,1.172846,,baostock,2026-07-07T12:01:38+08:00
688072,2026-03-31,0.082355,0.505448,0.416891,562276722.710000,5.823580,,baostock,2026-07-07T12:01:40+08:00
688120,2026-03-31,0.032584,0.205844,0.423092,247304870.480000,3.103651,,baostock,2026-07-07T12:01:41+08:00
688200,2026-03-31,0.022789,0.344437,0.753031,93620711.440000,4.193600,,baostock,2026-07-07T12:01:45+08:00
688256,2026-03-31,0.082017,0.351207,0.543304,1013125012.860000,6.443141,,baostock,2026-07-07T12:01:46+08:00
688313,2026-03-31,0.072443,0.201487,0.341319,116175902.840000,0.874385,,baostock,2026-07-07T12:01:47+08:00
688525,2026-03-31,0.415554,0.422224,0.533049,2877141550.240000,8.388274,,baostock,2026-07-07T12:01:48+08:00
688981,2026-03-31,0.009056,0.090480,0.214759,1593998000.000000,0.630581,,baostock,2026-07-07T12:01:50+08:00
